"account","sector","closed_deals","wins","win_rate","won_revenue"
"Kan-code","software",187,115,0.614973262032086,341455
"Konex","technology",171,108,0.631578947368421,269245
"Condax","medical",159,105,0.660377358490566,206410
"Cheers","entertainment",90,57,0.633333333333333,198020
"Hottechi","technology",193,111,0.575129533678757,194957
"Goodsilron","marketing",88,65,0.738636363636364,182522
"Treequote","telecommunications",106,65,0.613207547169811,176751
"Warephase","services",101,70,0.693069306930693,170046
"Xx-holding","finance",79,48,0.607594936708861,169357
"Isdom","medical",112,65,0.580357142857143,164683
"Mathtouch","marketing",81,52,0.641975308641975,163339
"Singletechno","retail",104,72,0.692307692307692,163339
"Scotfind","software",98,67,0.683673469387755,162725
"Plussunin","retail",91,55,0.604395604395604,155195
"Umbrella Corporation","finance",77,48,0.623376623376623,152701
"Rangreen","technology",100,75,0.75,151777
"Donquadtech","technology",77,55,0.714285714285714,147976
"Plexzap","retail",74,47,0.635135135135135,144976
"Stanredtax","finance",100,69,0.69,142711
"Inity","marketing",100,68,0.68,141858
"Codehow","software",117,72,0.615384615384615,140183
"Labdrill","medical",71,46,0.647887323943662,140086
"Zotware","software",70,47,0.671428571428571,138339
"Xx-zobam","entertainment",83,46,0.55421686746988,135346
"Gekko & Co","retail",85,60,0.705882352941177,134731
"Y-corporation","employment",85,54,0.635294117647059,131427
"Dontechi","software",117,70,0.598290598290598,128048
"Finjob","employment",81,57,0.703703703703704,127569
"Funholding","finance",99,59,0.595959595959596,127050
"Fasehatice","retail",81,49,0.604938271604938,127009
"Ron-tech","medical",107,70,0.654205607476635,125481
"Conecom","technology",88,54,0.613636363636364,125310
"Ganjaflex","retail",75,46,0.613333333333333,123506
"Lexiqvolax","medical",66,39,0.590909090909091,121418
"Cancity","retail",93,55,0.591397849462366,118627
"Hatfan","services",76,43,0.565789473684211,117942
"Streethex","retail",104,63,0.605769230769231,117463
"Finhigh","finance",93,54,0.580645161290323,117255
"dambase","marketing",91,54,0.593406593406593,116394
"Globex Corporation","technology",85,50,0.588235294117647,115712
"Genco Pura Olive Oil Company","retail",87,54,0.620689655172414,114352
"Faxquote","telecommunications",76,48,0.631578947368421,113557
"Vehement Capital Partners","finance",57,34,0.596491228070175,111533
"Rundofase","technology",96,65,0.677083333333333,110512
"Ontomedia","employment",56,34,0.607142857142857,110098
"Betatech","medical",86,53,0.616279069767442,107408
"Sunnamplex","marketing",68,45,0.661764705882353,106754
"Groovestreet","retail",55,35,0.636363636363636,106098
"Sonron","telecommunications",73,46,0.63013698630137,103673
"J-Texon","retail",73,50,0.684931506849315,102610
"Acme Corporation","technology",58,34,0.586206896551724,101744
"Domzoom","entertainment",78,53,0.67948717948718,99639
"Green-Plus","services",72,41,0.569444444444444,99293
"Betasoloin","medical",54,34,0.62962962962963,97036
"Kinnamplus","retail",62,40,0.645161290322581,95060
"Bioholding","medical",85,50,0.588235294117647,90991
"Massive Dynamic","entertainment",59,38,0.644067796610169,90110
"Initech","telecommunications",63,37,0.587301587301587,89792
"Bubba Gump","software",54,36,0.666666666666667,89248
"Plusstrip","entertainment",46,33,0.717391304347826,89208
"Blackzim","retail",71,41,0.577464788732394,87715
"Zencorporation","technology",48,33,0.6875,86690
"Toughzap","retail",63,39,0.619047619047619,85902
"Gogozoom","telecommunications",73,51,0.698630136986301,85047
"Rantouch","telecommunications",65,38,0.584615384615385,84754
"Silis","medical",63,35,0.555555555555556,83816
"Newex","services",51,37,0.725490196078431,82622
"Scottech","marketing",77,48,0.623376623376623,82360
"Doncon","technology",56,33,0.589285714285714,82118
"Opentech","finance",50,30,0.6,78669
"Zumgoity","medical",57,36,0.631578947368421,78237
"Dalttechnology","software",61,43,0.704918032786885,77936
"Zoomit","entertainment",46,33,0.717391304347826,76684
"The New York Inquirer","medical",44,28,0.636363636363636,76636
"Yearin","retail",56,36,0.642857142857143,75424
"Iselectrics","technology",38,25,0.657894736842105,72543
"Konmatfix","marketing",64,42,0.65625,72457
"Bioplex","medical",46,31,0.673913043478261,67393
"Statholdings","employment",64,34,0.53125,67080
"Nam-zim","services",52,32,0.615384615384615,63103
"Sumace","retail",41,23,0.560975609756098,59905
"Bluth Company","technology",48,28,0.583333333333333,56903
"Donware","marketing",54,30,0.555555555555556,56637
"Zathunicon","retail",52,34,0.653846153846154,55616
"Golddex","finance",58,33,0.568965517241379,51632
