"close_month","closed_deals","wins","win_rate","won_revenue","median_cycle_days"
"2017-03",647,531,0.820710973724884,1134672,75
"2017-04",586,285,0.486348122866894,721932,7
"2017-05",805,438,0.544099378881988,1025713,68
"2017-06",641,531,0.828393135725429,1338466,77
"2017-07",627,308,0.491228070175439,696932,7
"2017-08",785,446,0.568152866242038,1050059,70
"2017-09",635,503,0.792125984251968,1235264,73
"2017-10",566,279,0.492932862190813,731980,7
"2017-11",768,406,0.528645833333333,938943,66
"2017-12",651,511,0.78494623655914,1131573,76
